coin_id,name,percentage
80,Move,19.5
80,TypeScript,9.4
80,SMT,0.9
80,TeX,0.9
80,Python,0.6
80,Other,0.9
82,C++,78.3
82,C,17.0
82,Python,4.0
82,Makefile,0.7
83,Python,52.0
83,Vyper,47.9
83,Shell,0.1
84,Rust,89.1
84,Python,8.4
84,C++,1.6
84,Solidity,0.8
84,Shell,0.1
84,CMake,0.0
85,OCaml,86.2
85,Go,3.2
85,Reason,3.0
85,Rust,1.6
85,Shell,1.6
85,Standard ML,0.9
85,Other,3.5
86,C,50.5
86,Go,30.8
86,C++,8.0
86,Java,2.7
86,Python,2.7
86,Assembly,2.5
86,Other,2.8
87,JavaScript,93.2
87,Go,4.7
87,Shell,1.0
87,Rust,0.5
87,Makefile,0.4
87,Dockerfile,0.1
87,HTML,0.1
88,C++,59.9
88,C,18.1
88,Swift,8.4
88,Kotlin,5.8
88,Rust,3.2
88,HTML,1.3
88,Other,3.3
91,TypeScript,39.4
91,Solidity,33.4
91,JavaScript,25.9
91,PEG.js,0.5
91,Shell,0.5
91,Makefile,0.3
92,JavaScript,63.2
92,Solidity,32.6
92,Shell,4.2
97,Solidity,100.0
98,Go,99.0
98,Other,1.0
99,Rust,97.3
99,Solidity,1.0
99,JavaScript,0.9
99,Shell,0.4
99,Handlebars,0.3
99,TypeScript,0.1
100,C++,53.3
100,C,24.6
100,Python,8.3
100,Assembly,3.7
100,JavaScript,3.0
100,HTML,2.4
100,Other,4.7
102,TypeScript,99.8
102,Other,0.2
104,C,78.7
104,Erlang,20.4
104,C++,0.3
104,Nix,0.3
104,Shell,0.1
104,Makefile,0.1
104,HTML,0.1
105,C++,82.2
105,TypeScript,4.9
105,Python,4.7
105,Rust,2.5
105,CMake,1.9
105,Shell,1.6
105,Other,2.2
106,Go,84.6
106,Rust,14.5
106,Shell,0.4
106,Makefile,0.4
106,Dockerfile,0.1
106,Python,0.0
107,TypeScript,96.2
107,Solidity,3.7
107,JavaScript,0.1
108,JavaScript,97.3
108,Shell,2.3
108,Other,0.4
109,TypeScript,82.5
109,JavaScript,12.1
109,CSS,3.9
109,HTML,1.5
110,Solidity,86.8
110,JavaScript,13.2
111,TypeScript,59.0
111,JavaScript,28.4
111,Go,11.5
111,Shell,0.6
111,Python,0.3
111,Rust,0.2
112,Python,99.2
112,Other,0.8
113,Solidity,50.6
113,TypeScript,32.9
113,C++,8.8
113,JavaScript,3.7
113,Python,1.4
113,Cuda,1.4
113,Other,1.2
114,Solidity,62.2
114,JavaScript,37.8
115,TypeScript,58.6
115,Rust,38.7
115,Shell,2.0
115,Other,0.7
116,C++,72.0
116,Python,15.7
116,C,5.7
116,Shell,2.8
116,M4,1.1
116,Makefile,0.8
116,Other,1.9
117,JavaScript,79.1
117,Solidity,20.9
118,Java,89.9
118,HTML,9.2
118,Hack,0.4
118,PLSQL,0.3
118,CSS,0.1
118,Python,0.1
119,C++,68.9
119,Python,16.6
119,C,8.9
119,M4,2.2
119,Makefile,1.3
119,Shell,0.9
119,Other,1.2
120,Go,97.8
120,JavaScript,1.1
120,Other,1.1
121,JavaScript,59.7
121,Solidity,40.3
122,TypeScript,95.9
122,JavaScript,3.0
122,HTML,1.1
123,Go,89.2
123,C,5.2
123,JavaScript,3.4
123,Assembly,1.0
123,Java,0.2
123,Sage,0.2
123,Other,0.8
124,Go,61.4
124,C,34.8
124,Assembly,1.0
124,C++,0.7
124,Java,0.6
124,Sage,0.6
124,Other,0.9
125,Go,99.9
125,Other,0.1
126,C#,91.4
126,JavaScript,4.5
126,ShaderLab,1.8
126,HTML,0.7
126,Python,0.6
126,HLSL,0.5
126,Other,0.5
127,C,46.1
127,C++,41.4
127,Python,9.7
127,M4,1.1
127,Makefile,0.8
127,Shell,0.4
127,Other,0.5
128,Go,91.5
128,Rust,5.0
128,Python,1.7
128,Shell,1.4
128,Other,0.4
129,TypeScript,85.0
129,CSS,13.3
129,JavaScript,1.4
129,Shell,0.3
130,JavaScript,99.4
130,Other,0.6
131,Go,98.2
131,Shell,1.6
131,Other,0.2
132,Rust,95.1
132,JavaScript,2.1
132,Nix,1.0
132,TypeScript,0.8
132,Shell,0.6
132,Makefile,0.4
136,C#,99.6
136,Other,0.4
137,Go,71.7
137,Shell,15.8
137,Makefile,7.5
137,Python,3.7
137,Dockerfile,1.3
139,Scala,99.9
139,Other,0.1
144,Solidity,90.5
144,TypeScript,8.8
144,Other,0.7
145,JavaScript,62.6
145,Solidity,32.6
145,TypeScript,4.6
145,Other,0.2
146,Go,51.5
146,Java,39.6
146,Python,7.7
146,Shell,0.8
146,Dockerfile,0.2
146,Makefile,0.1
146,C,0.1
148,Go,91.9
148,Assembly,8.1
150,TypeScript,86.5
150,JavaScript,12.0
150,Shell,1.4
150,HTML,0.1
151,JavaScript,93.2
151,Go,4.7
151,Shell,1.0
151,Rust,0.5
151,Makefile,0.4
151,Dockerfile,0.1
151,HTML,0.1
153,C++,82.7
153,Python,11.2
153,C,2.4
153,CMake,2.2
153,HTML,0.7
153,Shell,0.7
153,Other,0.1
154,TypeScript,60.1
154,Solidity,30.8
154,MDX,9.1
155,Go,89.9
155,C,4.9
155,JavaScript,3.2
155,Assembly,0.7
155,Java,0.2
155,Sage,0.2
155,Other,0.9
156,Go,97.7
156,Python,0.7
156,C++,0.7
156,Rust,0.4
156,Shell,0.3
156,C,0.1
156,Other,0.1
157,TypeScript,92.6
157,JavaScript,6.9
157,Other,0.5
158,TypeScript,56.5
158,Rust,38.6
158,Solidity,4.5
158,Shell,0.3
158,Handlebars,0.1
158,Dockerfile,0.0
160,Go,98.7
160,Other,1.3
161,JavaScript,57.9
161,Solidity,22.7
161,CSS,12.2
161,HTML,7.2
162,Go,98.0
162,Shell,1.3
162,JavaScript,0.5
162,Dockerfile,0.1
162,Makefile,0.1
162,Solidity,0.0
163,C++,50.6
163,WebAssembly,43.1
163,Python,3.4
163,Shell,1.6
163,CMake,0.8
163,Dockerfile,0.2
163,Other,0.3
164,TypeScript,95.8
164,Solidity,3.7
164,Other,0.5
165,Go,99.0
165,Other,1.0
166,Go,97.2
166,Solidity,1.7
166,Other,1.1
167,TypeScript,77.8
167,CSS,12.0
167,JavaScript,9.8
167,Shell,0.4
169,JavaScript,93.2
169,Go,4.7
169,Shell,1.0
169,Rust,0.5
169,Makefile,0.4
169,Dockerfile,0.1
169,HTML,0.1
170,Haskell,95.5
170,Pact,3.5
170,C,0.4
170,Dockerfile,0.3
170,Python,0.2
170,Nix,0.1
173,Rust,98.5
173,Shell,0.6
173,Python,0.6
173,Makefile,0.2
173,PowerShell,0.1
173,C,0.0
174,C++,65.0
174,Python,19.5
174,C,9.4
174,Shell,1.6
174,M4,1.4
174,Makefile,0.9
174,Other,2.2
176,Solidity,57.4
176,JavaScript,42.6
177,Rust,94.4
177,Python,3.0
177,Shell,1.6
177,Smarty,0.4
177,HTML,0.3
177,Java,0.2
177,Other,0.1
178,TypeScript,66.2
178,Solidity,33.8
180,Python,50.7
180,TypeScript,49.3
181,JavaScript,59.6
181,Vue,26.6
