id,currency_id,language_id,percentage
328,83,2,52
329,83,40,47.9
330,83,5,0.1
331,84,16,89.1
332,84,2,8.4
333,84,1,1.6
334,84,14,0.8
335,84,5,0.1
336,84,13,0
337,85,45,86.2
338,85,8,3.2
339,85,46,3
340,85,16,1.6
341,85,5,1.6
342,85,47,0.9
343,85,7,3.5
344,86,3,50.5
345,86,8,30.8
346,86,1,8
347,86,11,2.7
348,86,2,2.7
349,86,10,2.5
350,86,7,2.8
351,87,9,93.2
352,87,8,4.7
353,87,5,1
354,87,16,0.5
355,87,6,0.4
356,87,18,0.1
357,87,24,0.1
358,88,1,59.9
359,88,3,18.1
360,88,48,8.4
361,88,25,5.8
362,88,16,3.2
363,88,24,1.3
364,88,7,3.3
365,91,15,39.4
366,91,14,33.4
367,91,9,25.9
368,91,49,0.5
369,91,5,0.5
370,91,6,0.3
371,92,9,63.2
372,92,14,32.6
373,92,5,4.2
374,97,14,100
375,98,8,99
376,98,7,1
377,99,16,97.3
378,99,14,1
379,99,9,0.9
380,99,5,0.4
381,99,19,0.3
382,99,15,0.1
383,100,1,53.3
384,100,3,24.6
385,100,2,8.3
386,100,10,3.7
387,100,9,3
388,100,24,2.4
389,100,7,4.7
390,102,15,99.8
391,102,7,0.2
392,104,3,78.7
393,104,50,20.4
394,104,1,0.3
395,104,28,0.3
396,104,5,0.1
397,104,6,0.1
398,104,24,0.1
399,105,1,82.2
400,105,15,4.9
401,105,2,4.7
402,105,16,2.5
403,105,13,1.9
404,105,5,1.6
405,105,7,2.2
406,106,8,84.6
407,106,16,14.5
408,106,5,0.4
409,106,6,0.4
410,106,18,0.1
411,106,2,0
412,107,15,96.2
413,107,14,3.7
414,107,9,0.1
415,108,9,97.3
416,108,5,2.3
417,108,7,0.4
418,109,15,82.5
419,109,9,12.1
420,109,37,3.9
421,109,24,1.5
422,110,14,86.8
423,110,9,13.2
424,111,15,59
425,111,9,28.4
426,111,8,11.5
427,111,5,0.6
428,111,2,0.3
429,111,16,0.2
430,112,2,99.2
431,112,7,0.8
432,113,14,50.6
433,113,15,32.9
434,113,1,8.8
435,113,9,3.7
436,113,2,1.4
437,113,51,1.4
438,113,7,1.2
439,114,14,62.2
440,114,9,37.8
441,115,15,58.6
442,115,16,38.7
443,115,5,2
444,115,7,0.7
445,116,1,72
446,116,2,15.7
447,116,3,5.7
448,116,5,2.8
449,116,4,1.1
450,116,6,0.8
451,116,7,1.9
452,117,9,79.1
453,117,14,20.9
454,118,11,89.9
455,118,24,9.2
456,118,52,0.4
457,118,53,0.3
458,118,37,0.1
459,118,2,0.1
460,119,1,68.9
461,119,2,16.6
462,119,3,8.9
463,119,4,2.2
464,119,6,1.3
465,119,5,0.9
466,119,7,1.2
467,120,8,97.8
468,120,9,1.1
469,120,7,1.1
470,121,9,59.7
471,121,14,40.3
472,122,15,95.9
473,122,9,3
474,122,24,1.1
475,123,8,89.2
476,123,3,5.2
477,123,9,3.4
478,123,10,1
479,123,11,0.2
480,123,12,0.2
481,123,7,0.8
482,124,8,61.4
483,124,3,34.8
484,124,10,1
485,124,1,0.7
486,124,11,0.6
487,124,12,0.6
488,124,7,0.9
489,125,8,99.9
490,125,7,0.1
491,126,38,91.4
492,126,9,4.5
493,126,54,1.8
494,126,24,0.7
495,126,2,0.6
496,126,55,0.5
497,126,7,0.5
498,127,3,46.1
499,127,1,41.4
500,127,2,9.7
501,127,4,1.1
502,127,6,0.8
503,127,5,0.4
504,127,7,0.5
505,128,8,91.5
506,128,16,5
507,128,2,1.7
508,128,5,1.4
509,128,7,0.4
510,129,15,85
511,129,37,13.3
512,129,9,1.4
513,129,5,0.3
514,130,9,99.4
515,130,7,0.6
516,131,8,98.2
517,131,5,1.6
518,131,7,0.2
519,132,16,95.1
520,132,9,2.1
521,132,28,1
522,132,15,0.8
523,132,5,0.6
524,132,6,0.4
525,136,38,99.6
526,136,7,0.4
527,137,8,71.7
528,137,5,15.8
529,137,6,7.5
530,137,2,3.7
531,137,18,1.3
532,139,56,99.9
533,139,7,0.1
534,144,14,90.5
535,144,15,8.8
536,144,7,0.7
537,145,9,62.6
538,145,14,32.6
539,145,15,4.6
540,145,7,0.2
541,146,8,51.5
542,146,11,39.6
543,146,2,7.7
544,146,5,0.8
545,146,18,0.2
546,146,6,0.1
547,146,3,0.1
548,148,8,91.9
549,148,10,8.1
550,150,15,86.5
551,150,9,12
552,150,5,1.4
553,150,24,0.1
554,151,9,93.2
555,151,8,4.7
556,151,5,1
557,151,16,0.5
558,151,6,0.4
559,151,18,0.1
560,151,24,0.1
561,153,1,82.7
562,153,2,11.2
563,153,3,2.4
564,153,13,2.2
565,153,24,0.7
566,153,5,0.7
567,153,7,0.1
568,154,15,60.1
569,154,14,30.8
570,154,57,9.1
571,155,8,89.9
572,155,3,4.9
573,155,9,3.2
574,155,10,0.7
575,155,11,0.2
576,155,12,0.2
577,155,7,0.9
578,156,8,97.7
579,156,2,0.7
580,156,1,0.7
581,156,16,0.4
582,156,5,0.3
583,156,3,0.1
584,156,7,0.1
585,157,15,92.6
586,157,9,6.9
587,157,7,0.5
588,158,15,56.5
589,158,16,38.6
590,158,14,4.5
591,158,5,0.3
592,158,19,0.1
593,158,18,0
594,160,8,98.7
595,160,7,1.3
596,161,9,57.9
597,161,14,22.7
598,161,37,12.2
599,161,24,7.2
600,162,8,98
601,162,5,1.3
602,162,9,0.5
603,162,18,0.1
604,162,6,0.1
605,162,14,0
606,163,1,50.6
607,163,32,43.1
608,163,2,3.4
609,163,5,1.6
610,163,13,0.8
611,163,18,0.2
612,163,7,0.3
613,164,15,95.8
614,164,14,3.7
615,164,7,0.5
616,165,8,99
617,165,7,1
618,166,8,97.2
619,166,14,1.7
620,166,7,1.1
621,167,15,77.8
622,167,37,12
623,167,9,9.8
624,167,5,0.4
625,169,9,93.2
626,169,8,4.7
627,169,5,1
628,169,16,0.5
629,169,6,0.4
630,169,18,0.1
631,169,24,0.1
632,170,27,95.5
633,170,58,3.5
634,170,3,0.4
635,170,18,0.3
636,170,2,0.2
637,170,28,0.1
638,173,16,98.5
639,173,5,0.6
640,173,2,0.6
641,173,6,0.2
642,173,59,0.1
643,173,3,0
644,174,1,65
645,174,2,19.5
646,174,3,9.4
647,174,5,1.6
648,174,4,1.4
649,174,6,0.9
650,174,7,2.2
651,176,14,57.4
652,176,9,42.6
653,177,16,94.4
654,177,2,3
655,177,5,1.6
656,177,60,0.4
657,177,24,0.3
658,177,11,0.2
659,177,7,0.1
660,178,15,66.2
661,178,14,33.8
662,180,2,50.7
663,180,15,49.3
664,181,9,59.6
665,181,36,26.6
666,181,33,13.1
667,181,7,0.7
668,183,1,67.8
669,183,2,20
670,183,3,6.6
671,183,4,1.5
672,183,5,1.4
673,183,6,1.2
674,183,7,1.5
675,185,8,61.5
676,185,14,30.8
677,185,2,2.6
678,185,6,1.4
679,185,5,1.4
680,185,61,1.3
681,185,9,1
682,186,8,85.7
683,186,3,6.3
684,186,9,5.1
685,186,14,1
686,186,10,0.7
687,186,11,0.3
688,186,7,0.9
689,187,16,93.7
690,187,14,3.8
691,187,15,2.1
692,187,7,0.4
693,189,15,94.7
694,189,9,4.6
695,189,7,0.7
696,190,1,54.9
697,190,3,42.3
698,190,13,1.7
699,190,5,0.8
700,190,2,0.2
701,190,59,0.1
702,191,8,72
703,191,36,18.7
704,191,15,5.6
705,191,24,1.4
706,191,5,1
707,191,62,0.5
708,191,7,0.8
709,192,11,96.6
710,192,37,3.3
711,192,24,0.1
712,194,1,82.6
713,194,63,12
714,194,3,2.7
715,194,6,2.1
716,194,5,0.4
717,194,18,0.1
718,194,10,0.1
719,195,14,65.7
720,195,15,33.3
721,195,7,1
722,196,9,100
723,199,64,76.2
724,199,2,15.2
725,199,11,2.3
726,199,28,1.3
727,199,5,1.2
728,199,1,1.1
729,199,7,2.7
730,200,9,56.9
731,200,14,43.1
