currency_id,commits_count,contributors_count,forks_count,stars_count,github_link
131,3025,48.0,156,509,https://github.com/livepeer/wiki/blob/master/WHITEPAPER.md
132,17530,49.0,281,1033,https://github.com/holochain/holochain-rust
136,21164,49.0,236,803,https://github.com/aelfProject
137,646,27.0,33,68,https://github.com/fetchai
139,13068,62.0,442,1171,https://github.com/wavesplatform/
140,4,2.0,4,10,https://github.com/golemfactory/golem
144,69,,10,10,https://github.com/floki-inu
145,691,14.0,16,32,https://github.com/threshold-network
146,5571,20.0,37,72,https://github.com/icon-project
148,438,7.0,5,47,https://github.com/SiaFoundation
150,7277,7.0,6,17,https://github.com/Solar-network
151,145,14.0,86,357,https://github.com/terra-money/core
153,9195,78.0,99,318,https://github.com/openhive-network/hive
154,17269,103.0,180,314,https://github.com/0xProject
155,13581,,18380,199,https://github.com/ethereumpow
156,2368,55.0,323,815,https://github.com/ontio
157,1576,9.0,22,22,https://github.com/bloxapp/ssv-web
158,2006,42.0,301,823,https://github.com/PureStake/moonbeam
160,3986,21.0,39,97,https://github.com/bandprotocol
161,41,3.0,66,139,https://github.com/bcnmy
162,8126,70.0,291,1455,https://github.com/harmony-one
163,16137,215.0,53,126,https://github.com/worldwide-asset-exchange/
164,8761,21.0,1512,1769,https://github.com/sushiswap/sushiswap
165,1247,29.0,65,92,https://github.com/axelarnetwork
166,3037,81.0,317,1481,https://github.com/iotexproject/iotex-core
167,18,3.0,6,34,https://github.com/TreasureProject/
169,145,14.0,86,357,https://github.com/terra-project
170,3131,32.0,91,235,https://github.com/kadena-io/chainweb-node
173,8388,46.0,202,1071,https://github.com/nervosnetwork/rfcs/blob/master/rfcs/0002-ckb/0002-ckb.md
174,21667,,241,79,https://github.com/DigiByte-Core
176,2,,15,9,https://github.com/daomaker
177,2205,53.0,138,1130,https://github.com/mobilecoinfoundation/mobilecoin
178,233,13.0,48,142,https://github.com/ribbon-finance
180,589,16.0,46,127,https://github.com/skalenetwork
181,4635,200.0,264,192,https://github.com/runonflux
183,14568,389.0,110,249,https://github.com/HorizenOfficial
185,327,3.0,8,18,https://github.com/reserve-protocol
186,11824,260.0,71,145,https://github.com/tomochain/
187,3692,34.0,47,134,https://github.com/tonlabs/ever-sdk
189,33403,78.0,480,2760,https://github.com/LiskHQ/lisk-sdk
190,5728,89.0,811,3454,https://github.com/nanocurrency
191,8414,98.0,392,2734,https://github.com/storj/storj
192,4,2.0,4,4,https://github.com/Alchemy-GPS
194,972,16.0,10,34,https://github.com/cartesi
195,410,13.0,77,109,https://github.com/celer-network
196,514,,1035,1,https://github.com/playdapp
199,8470,247.0,984,3717,https://github.com/status-im
200,5,,18,48,https://github.com/amptoken
